Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2026-01-23 04:41:00+00:00,25281.25,25287.69921875,25278.25,25285.94921875,0
2026-01-23 04:42:00+00:00,25286.69921875,25286.75,25280.25,25281.19921875,0
2026-01-23 04:43:00+00:00,25286.150390625,25291.599609375,25285.75,25286.44921875,0
2026-01-23 04:44:00+00:00,25281.69921875,25289.80078125,25281.5,25285.400390625,0
2026-01-23 04:45:00+00:00,25283.30078125,25288.05078125,25275.80078125,25280.55078125,0
2026-01-23 04:46:00+00:00,25268.400390625,25284.0,25268.400390625,25283.0,0
2026-01-23 04:47:00+00:00,25268.400390625,25270.75,25264.599609375,25268.0,0
2026-01-23 04:48:00+00:00,25254.25,25268.849609375,25251.55078125,25268.849609375,0
2026-01-23 04:49:00+00:00,25261.349609375,25263.599609375,25252.599609375,25254.05078125,0
2026-01-23 04:50:00+00:00,25261.25,25263.80078125,25258.099609375,25261.69921875,0
2026-01-23 04:51:00+00:00,25264.05078125,25268.349609375,25260.25,25261.30078125,0
2026-01-23 04:52:00+00:00,25265.900390625,25266.75,25262.0,25263.94921875,0
2026-01-23 04:53:00+00:00,25261.599609375,25266.55078125,25259.849609375,25266.25,0
2026-01-23 04:54:00+00:00,25264.19921875,25264.849609375,25259.55078125,25260.849609375,0
2026-01-23 04:55:00+00:00,25266.400390625,25267.05078125,25262.900390625,25265.150390625,0
2026-01-23 04:56:00+00:00,25264.099609375,25267.150390625,25260.80078125,25266.25,0
2026-01-23 04:57:00+00:00,25271.55078125,25273.0,25265.400390625,25265.400390625,0
2026-01-23 04:58:00+00:00,25288.69921875,25290.650390625,25270.5,25271.05078125,0
2026-01-23 04:59:00+00:00,25291.44921875,25295.900390625,25285.44921875,25288.0,0
2026-01-23 05:00:00+00:00,25303.150390625,25304.94921875,25291.69921875,25291.69921875,0
2026-01-23 05:01:00+00:00,25319.19921875,25320.80078125,25302.900390625,25302.900390625,0
2026-01-23 05:02:00+00:00,25299.349609375,25319.150390625,25299.349609375,25319.150390625,0
2026-01-23 05:03:00+00:00,25298.400390625,25299.25,25286.69921875,25298.849609375,0
2026-01-23 05:04:00+00:00,25303.80078125,25307.25,25297.44921875,25297.44921875,0
2026-01-23 05:05:00+00:00,25313.0,25315.69921875,25302.30078125,25303.55078125,0
2026-01-23 05:06:00+00:00,25305.349609375,25313.69921875,25305.349609375,25313.69921875,0
2026-01-23 05:07:00+00:00,25311.599609375,25315.44921875,25305.099609375,25305.44921875,0
2026-01-23 05:08:00+00:00,25304.05078125,25311.30078125,25303.400390625,25311.05078125,0
2026-01-23 05:09:00+00:00,25300.099609375,25304.94921875,25298.94921875,25304.55078125,0
2026-01-23 05:10:00+00:00,25297.69921875,25310.19921875,25297.69921875,25301.349609375,0
2026-01-23 05:11:00+00:00,25295.94921875,25299.80078125,25292.69921875,25297.900390625,0
2026-01-23 05:12:00+00:00,25297.0,25300.849609375,25295.349609375,25295.599609375,0
2026-01-23 05:13:00+00:00,25291.69921875,25296.94921875,25286.44921875,25296.94921875,0
2026-01-23 05:14:00+00:00,25293.349609375,25295.900390625,25290.349609375,25292.5,0
2026-01-23 05:15:00+00:00,25297.349609375,25298.55078125,25292.94921875,25293.25,0
2026-01-23 05:16:00+00:00,25289.150390625,25300.400390625,25288.94921875,25299.05078125,0
2026-01-23 05:17:00+00:00,25280.25,25290.599609375,25280.25,25289.650390625,0
2026-01-23 05:18:00+00:00,25273.25,25282.75,25273.05078125,25280.0,0
2026-01-23 05:19:00+00:00,25275.94921875,25279.0,25270.44921875,25272.94921875,0
2026-01-23 05:20:00+00:00,25283.69921875,25285.25,25274.94921875,25275.849609375,0
2026-01-23 05:21:00+00:00,25281.400390625,25287.400390625,25279.19921875,25284.5,0
2026-01-23 05:22:00+00:00,25276.94921875,25281.94921875,25275.599609375,25281.75,0
2026-01-23 05:23:00+00:00,25276.75,25279.099609375,25273.5,25276.349609375,0
2026-01-23 05:24:00+00:00,25278.05078125,25283.19921875,25277.19921875,25277.30078125,0
2026-01-23 05:25:00+00:00,25278.19921875,25283.099609375,25277.650390625,25278.25,0
2026-01-23 05:26:00+00:00,25271.0,25279.55078125,25269.69921875,25278.30078125,0
2026-01-23 05:27:00+00:00,25282.19921875,25285.099609375,25271.30078125,25271.599609375,0
2026-01-23 05:28:00+00:00,25275.19921875,25282.599609375,25274.849609375,25281.849609375,0
2026-01-23 05:29:00+00:00,25277.55078125,25281.0,25273.849609375,25275.099609375,0
2026-01-23 05:30:00+00:00,25279.69921875,25285.55078125,25275.75,25277.650390625,0
2026-01-23 05:31:00+00:00,25272.80078125,25280.80078125,25272.5,25279.30078125,0
2026-01-23 05:32:00+00:00,25272.25,25276.849609375,25272.0,25273.849609375,0
2026-01-23 05:33:00+00:00,25267.05078125,25272.55078125,25267.05078125,25271.900390625,0
2026-01-23 05:34:00+00:00,25265.80078125,25270.0,25265.19921875,25267.44921875,0
2026-01-23 05:35:00+00:00,25270.349609375,25272.44921875,25262.099609375,25265.0,0
2026-01-23 05:36:00+00:00,25274.69921875,25274.80078125,25261.05078125,25269.5,0
2026-01-23 05:37:00+00:00,25268.55078125,25275.80078125,25268.05078125,25274.0,0
